Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
44.5,6.9987,30.382,15.417,2.4512,3.6122,9.5144,2.9027,1.1288,1.9674,4.354,4.8056,0.98178
32.644,6.0276,26.166,13.277,2.1111,3.111,8.1942,2.4999,0.9722,1.6944,3.7499,4.1388,0.71598
32.417,6.009,26.085,13.236,2.1045,3.1014,8.1689,2.4922,0.9692,1.6892,3.7383,4.126,0.71117
28.922,5.7221,24.84,12.604,2.0041,2.9534,7.7789,2.3732,0.92292,1.6085,3.5598,3.929,0.63992
18.586,4.8692,21.137,10.726,1.7053,2.5131,6.6194,2.0195,0.78536,1.3688,3.0292,3.3434,0.48991
6.5983,3.8779,16.834,8.5422,1.3582,2.0015,5.2719,1.6084,0.62547,1.0901,2.4125,2.6627,0.33293
-12.95,2.25,9.7675,4.9563,0.78803,1.1613,3.0588,0.9332,0.36291,0.6325,1.3998,1.545,0.21433
-22.429,1.4554,6.3181,3.206,0.50974,0.75119,1.9786,0.60364,0.23475,0.40913,0.90545,0.99935,0.21858
-22.167,1.4774,6.4136,3.2544,0.51744,0.76255,2.0085,0.61276,0.2383,0.41532,0.91914,1.0145,0.21792
-11.826,2.344,10.175,5.1633,0.82094,1.2098,3.1865,0.97216,0.37806,0.65891,1.4582,1.6095,0.21651
10.868,4.2316,18.369,9.3212,1.482,2.1841,5.7526,1.755,0.68252,1.1895,2.6326,2.9056,0.38153
32.915,6.0498,26.262,13.326,2.1188,3.1225,8.2244,2.5091,0.97578,1.7006,3.7637,4.154,0.72175
48.17,7.2979,31.68,16.075,2.5559,3.7666,9.921,3.0268,1.1771,2.0515,4.5401,5.011,1.0818
65.931,8.7336,37.913,19.238,3.0588,4.5077,11.873,3.6222,1.4086,2.4551,5.4333,5.9968,1.7114
69.461,9.0189,39.151,19.867,3.1587,4.6549,12.261,3.7406,1.4547,2.5353,5.6108,6.1927,1.8363
68.162,8.914,38.696,19.635,3.122,4.6008,12.118,3.6971,1.4377,2.5058,5.5456,6.1207,1.7897
66.069,8.7448,37.961,19.263,3.0627,4.5135,11.888,3.6269,1.4105,2.4582,5.4403,6.0045,1.7162
65.564,8.7039,37.784,19.173,3.0484,4.4923,11.833,3.6099,1.4039,2.4467,5.4149,5.9764,1.6988
63.556,8.5414,37.078,18.815,2.9915,4.4085,11.612,3.5425,1.3776,2.401,5.3138,5.8648,1.6305
62.375,8.4458,36.663,18.604,2.958,4.3591,11.482,3.5029,1.3622,2.3742,5.2543,5.7992,1.5912
64.493,8.6173,37.408,18.982,3.018,4.4476,11.715,3.574,1.3899,2.4224,5.361,5.9169,1.6621
